ano;uf;dt_referencia;dt_geracao;qtd_contratos_total;valor_total_contratos;qtd_operacoes_total;arquivo_origem
2023;ES;2023_12;2026_04_29;26242;1926324299.09;26242;pronaf_gaia_historico_anual_2023.xlsx
2023;GO;2023_12;2026_04_29;16130;1104922384.35;16130;pronaf_gaia_historico_anual_2023.xlsx
2023;MA;2023_12;2026_04_29;87103;1109172894.96;87103;pronaf_gaia_historico_anual_2023.xlsx
2023;MG;2023_12;2026_04_29;162840;5373626220.66;162840;pronaf_gaia_historico_anual_2023.xlsx
2023;MS;2023_12;2026_04_29;5838;309368235.16;5838;pronaf_gaia_historico_anual_2023.xlsx
2023;MT;2023_12;2026_04_29;18011;1778696088.26;18011;pronaf_gaia_historico_anual_2023.xlsx
2023;PA;2023_12;2026_04_29;16961;1199399096.78;16961;pronaf_gaia_historico_anual_2023.xlsx
2023;PB;2023_12;2026_04_29;84391;631238514.77;84391;pronaf_gaia_historico_anual_2023.xlsx
2023;PE;2023_12;2026_04_29;90714;1068641589.23;90714;pronaf_gaia_historico_anual_2023.xlsx
2023;PI;2023_12;2026_04_29;105898;762435869.4;105898;pronaf_gaia_historico_anual_2023.xlsx
2023;PR;2023_12;2026_04_29;113911;8366052247.23;113911;pronaf_gaia_historico_anual_2023.xlsx
2023;RJ;2023_12;2026_04_29;3873;245267620.13;3873;pronaf_gaia_historico_anual_2023.xlsx
2023;RN;2023_12;2026_04_29;49660;385562827.23;49660;pronaf_gaia_historico_anual_2023.xlsx
2023;RO;2023_12;2026_04_29;28716;2250076638.7999997;28716;pronaf_gaia_historico_anual_2023.xlsx
2023;RR;2023_12;2026_04_29;1395;111695994.17999999;1395;pronaf_gaia_historico_anual_2023.xlsx
2023;RS;2023_12;2026_04_29;226610;14481666474.28;226610;pronaf_gaia_historico_anual_2023.xlsx
2023;SC;2023_12;2026_04_29;105371;7664053672.349999;105371;pronaf_gaia_historico_anual_2023.xlsx
2023;SE;2023_12;2026_04_29;30277;578437387.38;30277;pronaf_gaia_historico_anual_2023.xlsx
2023;SP;2023_12;2026_04_29;13872;952295051.78;13872;pronaf_gaia_historico_anual_2023.xlsx
2023;TO;2023_12;2026_04_29;3988;233131158.85;3988;pronaf_gaia_historico_anual_2023.xlsx
2024;AC;2024_12;2026_04_29;4590;509623546.35;4590;pronaf_gaia_historico_anual_2024.xlsx
2024;AL;2024_12;2026_04_29;50324;723327163.98;50324;pronaf_gaia_historico_anual_2024.xlsx
2024;AM;2024_12;2026_04_29;1638;72862774.82000001;1638;pronaf_gaia_historico_anual_2024.xlsx
2024;AP;2024_12;2026_04_29;421;16878587.099999998;421;pronaf_gaia_historico_anual_2024.xlsx
2024;BA;2024_12;2026_04_29;266361;3556308347.9900002;266361;pronaf_gaia_historico_anual_2024.xlsx
2024;CE;2024_12;2026_04_29;137036;1487344902.96;137036;pronaf_gaia_historico_anual_2024.xlsx
2024;DF;2024_12;2026_04_29;57;3528038.62;57;pronaf_gaia_historico_anual_2024.xlsx
2024;ES;2024_12;2026_04_29;31071;2474968676.83;31071;pronaf_gaia_historico_anual_2024.xlsx
2024;GO;2024_12;2026_04_29;16359;1298882739.77;16359;pronaf_gaia_historico_anual_2024.xlsx
2024;MA;2024_12;2026_04_29;113766;1729131768.4;113766;pronaf_gaia_historico_anual_2024.xlsx
2024;MG;2024_12;2026_04_29;178785;6430955476.33;178785;pronaf_gaia_historico_anual_2024.xlsx
2024;MS;2024_12;2026_04_29;6763;373553025.07;6763;pronaf_gaia_historico_anual_2024.xlsx
2024;MT;2024_12;2026_04_29;15776;1638708281.17;15776;pronaf_gaia_historico_anual_2024.xlsx
2024;PA;2024_12;2026_04_29;22335;1712890727.16;22335;pronaf_gaia_historico_anual_2024.xlsx
2024;PB;2024_12;2026_04_29;95508;876387670.06;95508;pronaf_gaia_historico_anual_2024.xlsx
