ano;uf;dt_referencia;dt_geracao;familias_com_ater_iniciada_no_ano;familias_com_ater_recebida_no_ano;arquivo_origem
2023;AM;2025-11-30;2025-12-12;2;283;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;AP;2025-11-30;2025-12-12;0;140;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;BA;2025-11-30;2025-12-12;841;1641;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;CE;2025-11-30;2025-12-12;54;439;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;DF;2025-11-30;2025-12-12;2;2;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;ES;2025-11-30;2025-12-12;404;874;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;GO;2025-11-30;2025-12-12;189;2108;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;MA;2025-11-30;2025-12-12;795;1979;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;MG;2025-11-30;2025-12-12;1606;2247;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;MS;2025-11-30;2025-12-12;77;1872;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;MT;2025-11-30;2025-12-12;38;988;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;PA;2025-11-30;2025-12-12;17;254;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;PB;2025-11-30;2025-12-12;3;488;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;PE;2025-11-30;2025-12-12;788;2302;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;PI;2025-11-30;2025-12-12;91;1121;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;PR;2025-11-30;2025-12-12;641;641;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;RJ;2025-11-30;2025-12-12;290;290;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;RN;2025-11-30;2025-12-12;52;748;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;RO;2025-11-30;2025-12-12;1;227;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;RR;2025-11-30;2025-12-12;1;199;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
