politica;ano;uf;codigo_ibge;nome_uf;indicador;valor;formato;dt_referencia;dt_geracao;arquivo_origem
PRONAF;2016;PB;25;Paraíba;Valor total dos contratos;150354548.13;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PB;25;Paraíba;Operacoes;44746.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PE;26;Pernambuco;Contratos;61310.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PE;26;Pernambuco;Valor total dos contratos;234895169.7;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PE;26;Pernambuco;Operacoes;61310.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PI;22;Piauí;Contratos;67210.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PI;22;Piauí;Valor total dos contratos;186264120.52;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PI;22;Piauí;Operacoes;67210.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PR;41;Paraná;Contratos;112630.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PR;41;Paraná;Valor total dos contratos;3284523311.98;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PR;41;Paraná;Operacoes;112630.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RJ;33;Rio de Janeiro;Contratos;3328.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RJ;33;Rio de Janeiro;Valor total dos contratos;79132759.53999999;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RJ;33;Rio de Janeiro;Operacoes;3328.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RN;24;Rio Grande do Norte;Contratos;27275.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RN;24;Rio Grande do Norte;Valor total dos contratos;97472575.54;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RN;24;Rio Grande do Norte;Operacoes;27275.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RO;11;Rondônia;Contratos;16173.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RO;11;Rondônia;Valor total dos contratos;557843727.85;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RO;11;Rondônia;Operacoes;16173.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RR;14;Roraima;Contratos;1264.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RR;14;Roraima;Valor total dos contratos;39732424.22;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RR;14;Roraima;Operacoes;1264.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RS;43;Rio Grande do Sul;Contratos;186589.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RS;43;Rio Grande do Sul;Valor total dos contratos;4448506084.92;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;RS;43;Rio Grande do Sul;Operacoes;186589.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;SC;42;Santa Catarina;Contratos;77736.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;SC;42;Santa Catarina;Valor total dos contratos;2131520533.6;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;SC;42;Santa Catarina;Operacoes;77736.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;SE;28;Sergipe;Contratos;20751.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;SE;28;Sergipe;Valor total dos contratos;78485083.75;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;SE;28;Sergipe;Operacoes;20751.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;SP;35;São Paulo;Contratos;15774.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;SP;35;São Paulo;Valor total dos contratos;536053168.04;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
