politica;indicador;uf;codigo_ibge;nome_uf;valor_uf;valor_brasil;percentual_uf_brasil;ranking_brasil;formato;dt_referencia;dt_geracao;arquivo_origem
CAF;Homens em CAF ativo;PI;22;Piauí;229500.0;3519584.0;6.520656986734796;6;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;RJ;33;Rio de Janeiro;12347.0;3519584.0;0.35080850464145763;25;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;RN;24;Rio Grande do Norte;111759.0;3519584.0;3.175346859174266;11;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;RS;43;Rio Grande do Sul;196773.0;3519584.0;5.590802776691791;7;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;RO;11;Rondônia;57505.0;3519584.0;1.6338578650204116;16;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;RR;14;Roraima;11735.0;3519584.0;0.3334200860101648;26;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;SC;42;Santa Catarina;86756.0;3519584.0;2.4649504032294725;12;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;SP;35;São Paulo;37493.0;3519584.0;1.0652679407566348;19;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;SE;28;Sergipe;54401.0;3519584.0;1.545665624119214;17;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;TO;17;Tocantins;32060.0;3519584.0;0.9109031067307954;22;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
PRONAF;Contratos;AC;12;Acre;4247.0;482017.0;0.8810892561880599;18;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;AL;27;Alagoas;14851.0;482017.0;3.0810116655636626;12;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;AP;16;Amapá;2236.0;482017.0;0.46388405388191706;24;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;AM;13;Amazonas;2937.0;482017.0;0.6093146092357739;23;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;BA;29;Bahia;84248.0;482017.0;17.47822172247037;1;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;CE;23;Ceará;41646.0;482017.0;8.639944234331983;3;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;DF;53;Distrito Federal;51.0;482017.0;0.010580539690508841;27;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;ES;32;Espírito Santo;8603.0;482017.0;1.78479182269505;15;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;GO;52;Goiás;4797.0;482017.0;0.9951931155955082;17;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;MA;21;Maranhão;34582.0;482017.0;7.17443575641523;6;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;MT;51;Mato Grosso;3492.0;482017.0;0.7244557764560171;21;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;MS;50;Mato Grosso do Sul;3397.0;482017.0;0.7047469280129124;22;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;MG;31;Minas Gerais;44848.0;482017.0;9.304236157645892;2;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;PA;15;Pará;14770.0;482017.0;3.064207278996384;13;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;PB;25;Paraíba;25577.0;482017.0;5.306244385571463;8;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;PR;41;Paraná;19655.0;482017.0;4.077657012097084;9;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;PE;26;Pernambuco;37375.0;482017.0;7.753875900642508;5;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;PI;22;Piauí;39268.0;482017.0;8.146600638566689;4;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;RJ;33;Rio de Janeiro;971.0;482017.0;0.20144517724478594;25;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;RN;24;Rio Grande do Norte;16394.0;482017.0;3.4011248565921948;11;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;RS;43;Rio Grande do Sul;31384.0;482017.0;6.510973679351559;7;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;RO;11;Rondônia;6174.0;482017.0;1.2808676872392466;16;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;RR;14;Roraima;784.0;482017.0;0.16264986504625356;26;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;SC;42;Santa Catarina;18872.0;482017.0;3.915214608613389;10;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;SP;35;São Paulo;4077.0;482017.0;0.8458207905530303;19;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;SE;28;Sergipe;12988.0;482017.0;2.6945107745162513;14;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Contratos;TO;17;Tocantins;3793.0;482017.0;0.7869017067862752;20;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;AC;12;Acre;152161877.0;14671081816.640001;1.0371551253120093;21;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;AL;27;Alagoas;227265553.09;14671081816.640001;1.549071540397481;18;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;AP;16;Amapá;35604893.57;14671081816.640001;0.2426875810181686;26;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;AM;13;Amazonas;45013305.120000005;14671081816.640001;0.306816536657479;25;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;BA;29;Bahia;1229653837.9299998;14671081816.640001;8.381480338657244;5;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;CE;23;Ceará;427484800.9;14671081816.640001;2.913791949651218;11;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;DF;53;Distrito Federal;2528092.75;14671081816.640001;0.017231808680479355;27;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;ES;32;Espírito Santo;749403823.99;14671081816.640001;5.10803384069485;6;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;GO;52;Goiás;303531328.87;14671081816.640001;2.068908977971437;16;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;MA;21;Maranhão;428622270.23;14671081816.640001;2.9215450884055114;10;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;MT;51;Mato Grosso;319447807.46000004;14671081816.640001;2.177397764203598;14;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;MS;50;Mato Grosso do Sul;146256825.98000002;14671081816.640001;0.9969055302664519;22;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;MG;31;Minas Gerais;1604294782.5700002;14671081816.640001;10.935081697590988;4;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;PA;15;Pará;658786280.49;14671081816.640001;4.490372889494774;7;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;PB;25;Paraíba;252093061.59000003;14671081816.640001;1.7182990643817082;17;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;PR;41;Paraná;1684841253.7399998;14671081816.640001;11.48409691117015;3;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;PE;26;Pernambuco;443450727.55;14671081816.640001;3.0226177802855436;9;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;PI;22;Piauí;322059940.03;14671081816.640001;2.195202399217202;13;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;RJ;33;Rio de Janeiro;65120962.54000001;14671081816.640001;0.44387294239024383;23;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;RN;24;Rio Grande do Norte;155309717.31;14671081816.640001;1.0586112138904922;20;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;RS;43;Rio Grande do Sul;2311754077.88;14671081816.640001;15.757216180595485;1;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;RO;11;Rondônia;518539180.94000006;14671081816.640001;3.5344304354698015;8;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;RR;14;Roraima;49064181.400000006;14671081816.640001;0.3344278357465856;24;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;SC;42;Santa Catarina;1706160904.8199997;14671081816.640001;11.629414423174063;2;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;SP;35;São Paulo;308450209.85;14671081816.640001;2.102436709882938;15;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;SE;28;Sergipe;357701496.26;14671081816.640001;2.4381398776898204;12;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Valor total dos contratos;TO;17;Tocantins;166480622.78;14671081816.640001;1.1347535571042688;19;moeda;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Operacoes;AC;12;Acre;4247.0;482017.0;0.8810892561880599;18;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Operacoes;AL;27;Alagoas;14851.0;482017.0;3.0810116655636626;12;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
PRONAF;Operacoes;AP;16;Amapá;2236.0;482017.0;0.46388405388191706;24;inteiro;2026_03;2026_04_14;pronaf_gaia_20260414.xlsx
